,NAME,AGE,RATING,WAGE,POTENTIAL,VALUE,TOTAL,Acceleration,Aggression,Agility,Balance,ballControll,Composure,Crossing,Defending,Height,Weight,Nationality,position
13516,M. Gabbia,17,61,8,76,0.504,1386,62,42,48,52,48,56,36,201,185,78,Italy,CB
13517,G. Cooper,20,61,2,75,0.616,1486,76,31,65,76,54,56,67,84,175,72,England,LM LW RM
13518,C. Riegler,25,61,3,65,0.258,950,28,22,32,47,11,32,13,32,185,83,Austria,GK
13519,A. Bentez,21,61,3,68,0.336,1638,73,49,69,78,60,52,58,176,168,67,Mexico,LB
13520,D. Gyollai,20,61,6,74,0.448,1071,45,25,31,50,20,36,16,43,193,91,Hungary,GK
13521,C. Lewis,20,61,2,73,0.504,1489,80,55,76,80,60,56,52,69,173,72,New Zealand,CAM CM LW
13522,L. Norris,24,61,4,64,0.364,1479,65,52,58,62,58,57,44,42,184,84,England,ST
13523,M. Gatto,21,61,1,69,0.42,1530,72,50,71,73,72,59,53,66,182,74,Italy,LW RW CAM
13524,J. Tuominen,21,61,0,68,0,1521,70,59,59,57,55,58,35,109,186,74,Finland,ST CAM
13525,D. Petrovic,24,61,3,66,0.325,1385,62,66,53,60,44,43,30,182,185,80,Serbia,CB
13526,E. Taha,18,61,5,75,0.588,1486,80,38,68,75,61,51,33,52,175,70,France,ST
13527,Kim Young Sin,31,61,2,61,0.246,1592,66,58,70,72,64,50,61,85,175,63,Korea Republic,CAM RM
13528,Kim Sang Won,25,61,2,61,0.302,1696,77,59,75,81,56,55,45,178,176,71,Korea Republic,LM LB
13529,R. Wulle,23,61,1,69,0.314,997,44,21,33,48,22,22,11,33,188,82,Germany,GK
13530,H. Al Habib,22,61,3,70,0.42,1673,58,71,62,54,58,55,43,176,183,81,Saudi Arabia,CM CAM
13531,A. Al Khulaif,20,61,6,76,0.616,1441,89,31,84,86,64,48,57,76,162,60,Saudi Arabia,RM LM
13532,K. Yoshino,22,61,2,70,0.364,1282,65,64,38,61,31,52,28,184,182,75,Japan,CB CDM
13533,R. Bushiri,17,61,2,77,0.504,1295,60,66,36,48,44,55,24,172,186,89,Belgium,CB
13534,L. Gambin,24,61,4,63,0.336,1454,69,34,72,86,66,45,57,78,168,70,Malta,LM CM
13535,M. Meneses,18,61,1,71,0.42,1515,66,34,68,73,62,39,63,60,174,71,Chile,CAM LW
13536,Samuel,20,61,1,71,0.392,1573,59,62,57,55,60,51,46,180,186,77,Spain,CDM CB
13537,Chico,26,61,2,62,0.325,1572,63,42,57,59,60,58,43,144,174,69,Korea Republic,CM
13538,J. Lindsey,17,61,1,80,0.504,1607,70,65,72,74,59,46,57,175,173,76,United States,RB LB
13539,M. Nazarit,19,61,1,76,0.56,1382,67,58,55,64,42,48,29,180,186,79,Colombia,CB
13540,K. Bistrovic,19,61,4,75,0.56,1569,57,65,54,61,54,55,43,182,183,75,Croatia,CDM
13541,M. Reule,23,61,1,69,0.314,994,34,17,33,22,22,58,18,39,188,84,Germany,GK
13542,J. Gerezgiher,21,61,2,69,0.42,1576,76,43,78,77,63,52,54,108,176,71,Germany,LM RM CAM
13543,V. Mller,18,61,2,75,0.532,1647,72,61,69,79,63,58,58,165,175,68,Austria,CDM RB CM
13544,J. Hoffmann,21,61,1,70,0.42,1651,66,64,71,73,63,53,51,151,179,72,Germany,CM CB
13545,C. Whelpdale,30,61,3,61,0.269,1713,65,47,69,65,57,62,61,153,184,80,England,RM LM
13546,J. Houghton,21,61,2,71,0.448,1652,71,65,45,61,64,63,44,174,183,79,England,CM CDM
13547,L. Amarilla,21,61,3,70,0.448,1423,58,30,55,64,52,46,34,67,182,77,Paraguay,ST
13548,A. Kenyon,24,61,2,63,0.291,1639,67,62,63,71,61,53,52,167,182,76,England,CDM CM CB
13549,D. Butler,22,61,2,70,0.364,1615,74,54,76,71,55,55,54,181,177,75,England,LWB LB
13550,Par,17,61,2,72,0.364,1428,63,50,47,65,56,37,41,180,191,89,Brazil,CB
13551,C. Senior,20,61,3,73,0.504,1553,84,43,80,81,63,56,58,82,175,64,England,CAM ST RM
13552,F. Sulmoni,31,61,2,61,0.19,1444,33,51,58,61,52,64,48,181,182,72,Switzerland,CB
13553,D. Philliskirk,26,61,2,61,0.302,1641,74,40,72,74,61,60,47,102,178,72,England,RM ST
13554,M. Havekotte,21,61,1,70,0.336,1067,43,19,36,54,27,31,20,42,187,76,Netherlands,GK
13555,J. Caletti,18,61,1,76,0.588,1582,72,52,87,84,62,66,53,166,170,65,Australia,CM CDM
13556,J. Binnom-Williams,22,61,3,65,0.302,1610,83,61,69,67,57,60,60,178,188,77,England,LWB
13557,H. Morita,22,61,2,68,0.336,1564,72,62,68,66,65,39,39,187,177,74,Japan,CDM RB
13558,N. Thaller,18,61,2,74,0.448,1405,62,55,48,57,51,47,43,186,188,70,Argentina,CB
13559,R. Fitzsimons,23,61,3,69,0.314,1002,34,35,38,44,19,33,13,50,185,75,Republic of Ireland,GK
13560,S. Nimely,18,61,7,75,0.588,1550,78,54,56,59,57,55,42,125,177,73,Liberia,ST
13561,V. Myhra,20,61,1,72,0.392,1066,48,21,30,51,16,31,21,45,194,94,Norway,GK
13562,J. Hoffman,28,61,1,61,0.28,1643,69,65,48,49,57,56,60,167,189,79,Australia,RM RB
13563,A. Babacan,17,61,6,76,0.56,1582,74,43,68,74,61,60,65,149,174,70,Turkey,CAM CM
13564,S. McAllister,29,61,3,61,0.269,1676,49,70,72,81,63,64,48,164,173,67,England,CM
13565,Z. Hines,28,61,4,61,0.28,1599,88,60,90,90,60,70,56,64,178,78,England,LM RM
13566,A. Pongouras,21,61,1,70,0.392,1454,60,61,49,54,44,54,31,184,183,77,Greece,CB
13567,T. Pemberton,18,61,8,79,0.588,1520,77,39,65,70,65,59,58,92,174,68,England,RW
13568,D. Szufryn,31,61,1,61,0.19,1309,38,65,38,44,40,53,30,180,191,82,Poland,CB
13569,Juan Delgado,23,61,5,68,0.392,1487,68,45,67,72,61,52,45,56,183,78,Spain,ST
13570,I. Rozas,19,61,2,78,0.616,1544,65,56,58,65,65,43,53,119,179,78,Chile,RW RM
13571,J. Hornkamp,19,61,2,73,0.504,1411,70,28,58,65,60,49,33,47,180,75,Netherlands,ST
13572,Tamayo,22,61,5,65,0.364,1485,66,33,70,79,61,53,45,59,175,70,Spain,ST
13573,A. Fisher,27,61,3,61,0.302,1480,80,33,72,61,61,59,36,56,191,80,England,ST
13574,Luan,21,61,3,71,0.392,1309,60,62,45,59,44,48,26,189,186,68,Brazil,CB
13575,S. Nabi,20,61,2,70,0.42,1609,62,49,57,65,69,66,56,146,180,76,England,CM
13576,L. Chvez,21,61,4,69,0.42,1628,69,28,66,67,67,65,62,182,178,73,Mexico,CM LM
13577,A. Al Hbeab,24,61,3,65,0.314,1388,59,59,58,65,39,40,32,184,186,84,Saudi Arabia,CB
13578,E. Verstappen,23,61,3,68,0.291,1049,34,35,28,27,22,27,16,53,196,88,Netherlands,GK
13579,D. Konate,23,61,1,67,0.325,1329,64,68,58,58,49,57,25,181,184,74,Ivory Coast,CB
13580,I. Leschuk,21,61,4,67,0.28,871,28,20,16,21,12,26,12,51,187,84,Russia,GK
13581,P. Fito,21,61,4,69,0.364,1621,55,67,69,75,56,60,63,187,175,72,France,CDM
13582,P. Soko,19,61,3,70,0.42,1497,81,31,50,72,58,49,60,89,176,72,Cameroon,RM
13583,Y. Bonnin,26,61,2,64,0.246,1073,45,18,38,52,14,26,20,53,187,83,Argentina,GK
13584,K. Baran,27,61,1,62,0.224,933,20,23,25,25,20,21,20,46,195,92,Poland,GK
13585,B. Khadartsev,24,61,4,63,0.336,1560,73,33,74,76,61,56,61,106,173,73,Russia,LM RM CM
13586,D. Nasu,35,61,1,61,0.067,1409,55,64,34,54,50,49,34,184,180,77,Japan,CB
13587,T. Aupic,32,61,1,61,0.157,866,29,27,38,41,17,33,14,32,177,67,France,GK
13588,G. Bouzoukis,19,61,1,71,0.448,1630,68,55,72,78,66,49,62,148,175,62,Greece,CAM CM
13589,L. Drholtz,23,61,3,65,0.364,1539,75,39,83,79,68,63,55,121,178,65,Germany,CAM
13590,A. Algu,20,61,4,65,0.364,1515,72,43,64,76,64,54,58,78,175,68,Cameroon,RM LM
13591,D. Mihajlovic,25,61,2,62,0.336,1580,70,61,61,62,63,54,61,170,177,74,Switzerland,LM RM RB
13592,W. Hashimoto,30,61,2,61,0.202,1570,60,45,64,62,55,65,69,175,181,72,Japan,LB LWB
13593,C. Itten,19,61,5,75,0.616,1516,68,31,56,61,66,56,64,91,189,81,Switzerland,ST CF
13594,A. Dartsch,22,61,1,68,0.392,1698,74,60,76,74,66,60,53,164,185,73,Germany,CM RB
13595,Toni Moya,19,61,5,77,0.588,1595,67,58,64,66,65,58,44,146,180,75,Spain,CM CAM
13596,J. Dilrosun,19,61,11,77,0.616,1479,84,35,63,73,63,47,58,83,175,67,Netherlands,LM
13597,A. Karada,27,61,3,63,0.28,1318,55,45,47,51,37,41,26,197,190,75,Turkey,CB CDM
13598,C. Torres,21,61,4,71,0.392,1509,59,54,50,65,54,42,53,198,182,78,Mexico,CB
13599,G. Marigard,29,61,2,61,0.213,1449,60,48,55,73,58,51,55,196,176,70,Guyana,RB
13600,R. Wolters,27,61,2,61,0.291,1598,76,71,77,49,60,48,57,80,177,70,Netherlands,LW
13601,F. Berra,22,61,1,69,0.364,1409,55,50,47,64,57,60,59,185,184,80,Italy,RB
13602,A. Cardozo,20,61,2,72,0.42,1624,66,62,50,74,62,46,48,186,181,79,Argentina,CDM CM
13603,I. Paro,22,61,1,67,0.325,1437,64,56,42,44,55,58,58,184,184,79,Burkina Faso,CB RB
13604,A. Ingegneri,25,61,1,66,0.314,1327,55,56,56,68,44,55,32,197,184,78,Italy,CB LB
13605,L. Lmmel,19,61,1,72,0.476,1676,67,51,66,70,61,56,60,170,179,70,Germany,CM CAM
13606,M. Igonen,20,61,1,71,0.364,934,27,30,30,40,12,25,15,43,186,78,Estonia,GK
13607,M. Pantovi,20,61,12,69,0.42,1497,67,32,65,51,69,49,57,87,185,67,Serbia,LM RM CF
13608,Z. Tsiskaridze,30,61,1,61,0.213,1548,56,76,55,57,54,55,60,172,185,85,Georgia,CB LB
13609,S. Galloway,22,61,1,67,0.325,1530,74,45,66,64,59,56,61,168,176,72,Australia,RB LB
13610,Julen Hualde,22,61,2,69,0.364,1486,65,55,53,65,56,53,60,190,176,75,Spain,LB
13611,M. Abu Shararah,26,61,4,62,0.336,1497,75,60,66,67,51,55,40,45,175,72,Saudi Arabia,ST
13612,J. Fierro,29,61,0,61,0,1432,54,52,48,59,47,51,24,72,181,83,Bolivia,ST
13613,R. Hatsuse,19,61,1,73,0.42,1459,70,51,57,71,56,42,55,185,175,64,Japan,LB RB RM
13614,I. Rojas,19,61,1,72,0.42,1587,64,41,63,68,55,51,36,177,177,76,Colombia,CDM
13615,E. Nketiah,18,61,11,81,0.588,1474,86,43,71,70,58,56,33,52,178,70,England,ST
13616,D. Lippert,21,61,2,70,0.364,1474,71,56,73,81,62,43,62,182,172,63,Germany,LB
13617,R. Droehnle,18,61,4,75,0.532,1405,62,57,46,61,45,47,48,190,183,74,France,CB LB
13618,G. McSheffrey,34,61,3,61,0.146,1598,52,56,64,80,65,63,67,68,173,66,England,LM CAM ST
13619,M. Al Saiari,24,61,4,65,0.364,1535,70,60,63,61,56,55,44,99,183,79,Saudi Arabia,ST
13620,G. Jones,21,61,2,70,0.364,1637,69,66,67,62,62,54,55,182,178,74,Wales,LB RB RWB
13621,Manu Morlanes,18,61,3,72,0.448,1655,61,45,60,58,63,52,63,142,173,67,Spain,CM
13622,B. Srmo,20,61,1,75,0.56,1615,69,58,65,60,57,43,54,172,187,80,Norway,RB RM
13623,G. Sbrissa,20,61,8,71,0.448,1614,55,56,58,58,64,60,57,167,184,78,Italy,CM RM
13624,T. Vialla,21,61,1,69,0.42,1601,68,48,70,65,65,59,62,122,179,75,France,CAM RM
13625,T. Bayliss,18,61,2,81,0.588,1570,80,53,77,53,67,68,49,134,183,78,England,CM CDM RM
13626,J. Barmby,22,61,2,70,0.448,1463,62,37,62,69,66,50,56,78,178,74,England,CAM
13627,S. Ramhorn,21,61,1,68,0.336,1561,65,67,58,66,55,49,50,193,180,78,Sweden,RB CB
13628,T. Morishima,20,61,2,69,0.42,1465,67,41,75,85,65,60,38,86,173,64,Japan,CAM CF LW
13629,J. Thompson,28,61,2,61,0.28,1502,80,56,93,82,60,46,60,62,183,60,England,RM LM ST
13630,Park Yi-Young,23,61,3,68,0.336,1504,66,51,71,64,63,46,53,183,186,71,Korea Republic,RB CDM CB
13631,Lee Min Soo,25,61,2,62,0.325,1621,55,70,58,70,58,60,50,173,177,73,Korea Republic,CM
13632,K. John,18,61,1,71,0.364,1403,65,56,47,54,54,56,32,178,186,74,Nigeria,CB
13633,M. Etuin,21,61,1,68,0.392,1618,69,43,64,76,61,61,59,163,174,65,France,CM LB
13634,Diogo Almeida,19,61,1,70,0.364,1528,69,57,78,79,62,54,40,184,173,69,Portugal,RB
13635,J. Dunleavy,25,61,1,62,0.269,1537,53,56,50,52,59,56,59,178,183,71,Republic of Ireland,RB CB LB
13636,C. Hamilton,22,61,4,69,0.42,1578,92,41,70,60,55,53,54,119,185,74,England,LM
13637,J. Grimes,26,61,3,63,0.28,1374,65,57,58,59,36,52,30,179,188,76,England,CB
13638,A. Gordyushenko,20,61,7,74,0.532,1724,58,62,63,73,60,54,43,161,176,71,Russia,CM CDM CAM
13639,T. Belmonte,19,61,2,76,0.56,1607,67,69,59,72,62,63,48,178,175,66,Argentina,CDM CM
13640,K. Brennan,33,61,1,61,0.112,1778,53,75,66,56,61,65,63,165,183,80,Republic of Ireland,CDM CM CAM
13641,J. Ebobisse,20,61,2,72,0.504,1520,67,49,64,70,60,56,42,55,183,79,United States,ST
13642,L. Jensen,20,61,1,73,0.504,1531,68,37,73,77,62,56,58,78,175,70,Germany,CAM
13643,D. Bektic,20,61,1,68,0.392,1650,62,56,70,66,60,43,52,166,182,79,Germany,CM CDM
13644,Ahn Young Kyu,27,61,1,63,0.28,1398,61,54,68,58,48,37,25,184,185,79,Korea Republic,CB
13645,R. Lowe,38,61,2,61,0.101,1529,47,65,62,62,58,75,56,78,180,72,England,ST
13646,J. Jesgarzewski,23,61,1,66,0.314,1554,70,47,64,68,61,59,49,170,180,75,Germany,RB CAM
13647,Seo Young Jae,22,61,5,69,0.364,1483,67,54,64,64,46,39,60,195,182,75,Korea Republic,LB LM
13648,D. Douline,24,61,1,65,0.314,1591,60,63,54,60,62,52,47,182,181,77,France,CDM
13649,J. Benteke,22,61,1,67,0.392,1520,74,54,68,59,57,52,54,71,187,76,Belgium,ST
13650,S. Ayala,21,61,1,72,0.42,1655,70,68,76,63,57,59,44,160,181,78,Colombia,CDM CM
13651,L. Bland-Goyette,21,61,2,67,0.392,1689,67,67,72,75,64,55,55,166,178,68,Canada,CM CDM
13652,E. Bytyqi,20,61,1,72,0.504,1491,85,26,78,73,58,48,55,51,179,76,Kosovo,ST RM
13653,M. Lercher,21,61,4,69,0.364,1495,72,51,48,72,55,34,64,183,177,69,Austria,LB
13654,M. Veenhoven,19,61,1,68,0.325,1656,70,71,53,61,56,58,52,180,183,75,Netherlands,CDM CM
13655,S. Henriksen,25,61,2,66,0.314,1491,63,67,41,48,59,64,44,166,185,79,Denmark,CB
13656,Diego Ferraresso,25,61,2,63,0.28,1503,71,61,67,69,58,55,45,200,171,71,Brazil,RB
13657,Y. elik,21,61,3,71,0.392,1361,63,48,57,73,32,41,40,198,176,70,Turkey,CB LB RB
13658,T. Payne,23,61,0,65,0,1741,69,80,66,67,60,54,57,171,179,79,New Zealand,CDM CM CB
13659,E. Ham,23,61,2,68,0.392,1690,70,64,65,65,63,41,48,156,174,67,Argentina,CM CDM
13660,Pomareta,22,61,2,70,0.364,1373,57,50,34,65,38,52,29,203,182,74,Spain,CB CDM
13661,M. van de Meulenhof,18,61,1,76,0.476,909,20,20,34,49,18,33,10,35,180,82,Netherlands,GK
13662,Cristiano Gomes,22,61,2,67,0.325,1492,59,61,65,49,55,56,60,186,185,76,Portugal,RB
13663,J. Thomasen,21,61,2,70,0.42,1685,57,53,62,83,62,60,51,173,177,66,Denmark,CM
13664,J. Barny,27,61,1,61,0.302,1602,69,57,70,66,66,51,49,109,177,78,Sweden,ST LM
13665,J. Rnningen,26,61,1,61,0.302,1675,69,56,66,57,58,46,58,140,181,82,Norway,RM
13666,A. Bordin,18,61,6,73,0.448,1645,61,55,63,67,64,58,50,167,176,72,Italy,CM
13667,P. Stpiski,22,61,1,68,0.336,1542,76,66,73,71,61,51,53,179,178,62,Poland,LB RB
13668,H. Cochrane,16,61,1,82,0.616,1611,69,61,61,79,57,65,40,154,178,62,Scotland,CM
13669,J. Ado,24,61,3,66,0.325,1647,62,57,72,65,64,43,52,186,176,75,Angola,CDM CM
13670,C. Stockton,23,61,3,68,0.392,1457,70,33,65,67,53,62,42,54,186,75,England,ST
13671,G. Perea,25,61,1,66,0.314,1394,62,54,51,67,51,55,35,183,179,73,Colombia,CB
13672,J. Laso,26,61,3,61,0.235,1393,58,64,47,58,58,42,41,198,186,79,Argentina,RB CB
13673,F. Al Johani,25,61,4,62,0.336,1534,78,56,64,67,58,55,64,48,176,67,Saudi Arabia,RM ST
13674,O. Lie,29,61,1,61,0.224,1426,30,62,48,51,53,48,40,175,187,91,Norway,CB LB
13675,S. Harrison,19,61,10,74,0.532,1468,75,49,73,70,59,52,45,44,183,68,England,ST LM RM
13676,S. Horemans,19,61,2,73,0.42,1447,65,64,71,70,53,62,32,186,184,71,Belgium,CB
13677,J. Wehrmann,18,61,2,77,0.588,1531,56,56,55,64,62,54,45,172,180,73,Netherlands,CM CDM
13678,M. Rhead,33,61,4,61,0.179,1433,23,77,42,46,62,57,21,70,193,106,England,ST CF
13679,I. Melnikov,20,61,4,69,0.42,1642,66,71,70,73,56,57,61,150,178,67,Russia,RM
13680,L. Vega,21,61,3,74,0.476,1450,66,50,52,62,58,52,55,178,179,70,Argentina,CB LB
13681,F. Escales,21,61,3,69,0.314,958,19,19,23,44,17,32,11,27,184,78,France,GK
13682,R. Lainton,27,61,3,63,0.224,1034,55,44,53,46,22,24,15,41,194,78,England,GK
13683,A. Borkovic,18,61,2,71,0.364,1409,59,51,46,56,49,37,40,189,184,74,Austria,CB
13684,M. Butcher,20,61,9,73,0.504,1576,57,55,58,55,66,50,48,161,188,83,England,CM CDM CB
13685,N. Gmez,19,61,4,70,0.42,1474,71,38,73,67,65,50,53,94,167,61,Mexico,RW CAM
13686,F. Cernuto,25,61,1,64,0.302,1427,61,57,62,58,48,60,30,179,180,72,Italy,CB
13687,Y. Al Fahmi,25,61,3,63,0.364,1452,57,62,56,54,65,48,31,54,170,66,Saudi Arabia,ST CAM LM
13688,F. Sittsam,22,61,4,66,0.325,1516,69,64,45,65,59,64,35,182,186,76,Austria,CDM CB
13689,P. Wilson,20,61,1,71,0.476,1487,84,40,75,73,57,60,40,44,182,74,Sweden,ST
13690,S. Otsuki,28,61,2,61,0.291,1631,62,72,71,63,60,52,43,71,178,73,Japan,CF ST
13691,Thierry Graa,22,61,1,66,0.269,885,30,24,33,25,17,38,13,32,194,87,Cape Verde,GK
13692,Diego Parras,21,61,3,72,0.42,1450,62,60,53,60,59,53,58,181,182,75,Spain,RB
13693,A. Egorychev,24,61,6,65,0.364,1646,60,40,59,49,59,66,50,157,183,73,Russia,CM
13694,G. Caffa,36,61,1,61,0.034,838,11,14,20,17,11,20,19,43,190,84,Argentina,GK
13695,D. Barlaser,20,61,10,75,0.616,1552,54,38,63,67,65,54,59,121,184,68,Turkey,CM CDM CAM
13696,C. O'Grady,31,61,4,61,0.258,1525,57,80,47,44,48,64,39,80,191,78,England,ST
13697,L. Grorud,33,61,1,61,0.112,1385,33,77,52,47,57,57,24,171,189,87,Norway,CB
13698,Y. Matsushita,23,61,1,66,0.364,1557,75,53,57,77,67,42,66,128,174,67,Japan,LM LB CDM CM
13699,V. Ramis,22,61,3,66,0.392,1418,65,26,57,64,63,50,33,54,181,78,Argentina,ST RM RW
13700,M. Ivanov,27,61,1,64,0.235,1093,61,21,39,51,23,40,19,43,185,75,Bulgaria,GK
13701,G. Statella,29,61,1,61,0.28,1683,72,63,78,72,62,63,60,112,182,76,Italy,LW RW
13702,T. Fukumitsu,25,61,2,61,0.302,1504,53,48,66,74,58,57,60,136,171,63,Japan,CM LM
13703,M. Kamekawa,24,61,2,65,0.302,1493,77,65,70,69,56,57,56,166,176,64,Japan,LB LWB
13704,C. Caldern,20,61,3,74,0.476,1504,78,60,62,75,61,34,57,181,171,66,Mexico,LB
13705,F. Jurez,18,61,2,74,0.504,1582,63,64,57,74,57,47,49,147,177,66,Argentina,CM
13706,M. Greve,22,61,3,69,0.42,1624,63,58,68,57,61,57,48,139,186,76,Denmark,RM CM
13707,Kim Bo Seop,19,61,1,73,0.504,1494,76,63,75,62,57,52,50,49,183,73,Korea Republic,ST
13708,E. Cedillo,21,61,7,70,0.392,1365,62,47,47,72,36,48,33,190,180,71,Mexico,CB
13709,P. Krachunov,28,61,1,61,0.224,1291,54,57,49,56,35,58,32,188,189,77,Bulgaria,CB
13710,T. Onozawa,19,61,1,69,0.392,1511,86,32,80,89,57,47,63,95,166,62,Japan,LM
13711,Q. Maceiras,21,61,3,72,0.42,1642,78,51,64,57,64,60,49,177,181,75,Switzerland,RB
13712,J. Ndecky,20,61,4,72,0.42,1551,79,78,75,73,58,49,59,175,176,70,Senegal,RB RM
13713,L. Tupta,19,61,4,76,0.616,1471,68,36,60,68,60,56,43,50,180,72,Slovakia,ST LW
13714,A. Troshechkin,21,61,5,69,0.364,1611,59,62,56,59,57,55,48,173,183,78,Russia,CDM
13715,J. Thorniley,20,61,8,72,0.42,1459,65,68,52,70,45,58,34,178,181,64,England,CB LB
13716,J. Anyon,30,61,3,61,0.179,1105,50,35,44,55,25,46,19,40,188,90,England,GK
13717,H. Middleton,22,61,3,67,0.392,1528,60,52,60,56,64,67,35,151,180,70,England,CM CDM
13718,R. Caballuci,24,61,2,64,0.364,1494,72,29,59,78,60,36,60,91,173,65,Argentina,LM LW RM
13719,Lee Jeong Bin,22,61,1,69,0.42,1604,70,59,68,71,60,53,58,119,174,65,Korea Republic,CAM
13720,R. Tulloch,16,61,5,81,0.56,1441,66,55,51,70,63,50,38,54,178,60,England,ST
13721,T. Nichols,23,61,2,63,0.364,1478,73,35,86,71,60,48,41,36,178,75,England,ST LW
13722,A. Al Najjar,20,61,6,73,0.504,1432,79,32,66,81,59,49,55,72,166,53,Saudi Arabia,RM LM CAM
13723,T. Sanu,17,61,2,75,0.504,1382,55,60,48,53,48,49,33,183,187,79,Turkey,CB
13724,Miguel ngel,19,61,2,71,0.392,1273,60,56,46,44,52,38,22,176,191,86,Spain,CB
13725,L. Waterfall,26,61,3,61,0.246,1377,51,65,53,42,41,53,29,175,188,84,England,CB
13726,R. Murray,25,61,1,64,0.364,1568,82,18,83,85,55,55,55,71,170,70,Republic of Ireland,ST
13727,Yoon Dong Min,28,61,2,61,0.291,1612,60,42,85,74,58,52,65,113,176,72,Korea Republic,ST
13728,M. Jadama,23,61,2,70,0.364,1326,51,54,53,55,46,58,23,168,185,80,United States,CB
13729,R. Sawakami,23,61,2,67,0.392,1499,69,65,73,63,60,53,27,45,181,77,Japan,ST
13730,J. Macas,17,61,7,78,0.56,1438,55,37,61,69,58,58,45,59,177,73,Mexico,ST
13731,P. Mbodji,19,61,3,71,0.448,1528,62,52,54,64,60,38,38,156,183,75,Senegal,CM
13732,W. Trochim,28,61,1,61,0.28,1568,44,76,69,64,62,61,58,119,180,76,Poland,CAM CM
13733,C. Boukholda,21,61,6,71,0.448,1552,63,50,55,66,63,60,57,110,179,60,France,CAM
13734,Genaro,19,61,1,71,0.448,1653,67,67,59,75,60,42,52,160,184,71,Spain,CM CB
13735,N. Belloni,22,61,10,68,0.392,1545,70,39,72,72,65,57,59,98,176,68,Italy,RM RW
13736,I. Ganago,18,61,4,77,0.588,1422,67,32,58,70,52,51,32,44,176,78,Cameroon,ST
13737,P. Paton,30,61,3,61,0.258,1670,48,72,56,67,63,35,46,191,178,74,Northern Ireland,CM CDM
13738,C. Randall,21,61,12,72,0.42,1629,67,70,49,57,61,60,63,186,180,76,England,RB CDM
13739,D. Soto,18,61,1,76,0.504,1527,67,62,61,78,53,53,55,189,170,70,Chile,LB CB
13740,M. Benger,18,61,3,69,0.325,1567,57,68,55,57,62,47,47,188,188,73,Germany,CDM CB
13741,Park Hyeong Jin,27,61,2,61,0.291,1581,78,52,76,63,62,59,48,181,182,74,Korea Republic,LM CB
13742,W. Boyle,21,61,2,68,0.336,1326,62,59,42,57,40,53,32,181,191,84,Scotland,CB
13743,K. Edwards,19,61,7,77,0.616,1536,59,50,60,82,77,67,49,133,172,64,England,CAM
13744,L. Contin,21,61,3,68,0.392,1425,53,34,57,59,58,45,39,55,183,78,Argentina,ST
13745,J. Barrett,19,61,4,79,0.616,1609,67,34,62,68,64,59,57,144,181,71,Republic of Ireland,CAM RM LM
13746,A. Amadi-Holloway,24,61,1,66,0.392,1596,70,58,67,52,64,51,33,151,188,83,Wales,ST
13747,D. Olave,23,61,1,68,0.336,1499,72,58,66,62,48,41,56,184,182,77,Colombia,RB RWB
13748,Jeong Tae Wook,20,61,1,74,0.476,1251,47,65,42,39,31,42,23,186,194,88,Korea Republic,CB
13749,G. Lazarte,19,61,1,74,0.476,1514,70,64,63,75,60,50,58,180,175,70,Argentina,LB
13750,F. Barboza,20,61,2,73,0.504,1493,75,44,75,75,63,53,59,66,171,72,Argentina,RM
13751,M. Sanoh,21,61,2,67,0.392,1565,84,57,80,82,63,55,56,70,174,72,Netherlands,RM
13752,I. Voca,20,61,2,73,0.448,1593,61,55,51,64,62,52,43,183,181,74,Kosovo,CDM CB CM
13753,A. Gerbo,27,61,1,61,0.235,1694,76,55,79,73,62,59,64,149,177,73,Italy,RB RM
13754,D. Carr,23,61,1,67,0.392,1439,77,33,70,70,64,53,33,43,180,77,England,ST
13755,D. Crdoba,30,61,1,61,0.213,1576,59,78,53,49,56,70,36,173,185,80,Colombia,CDM CM
13756,J. Clauss,24,61,1,66,0.314,1526,56,54,57,60,55,60,57,188,185,72,France,RB
13757,L. Madej,35,61,1,61,0.123,1632,43,73,69,66,70,60,61,112,176,70,Poland,RM
13758,M. Drennan,23,61,1,68,0.392,1525,72,76,74,55,53,51,41,52,179,81,Republic of Ireland,ST
13759,Alberto Lpez,22,61,4,67,0.325,1670,71,65,68,72,58,49,59,171,173,68,Spain,LB
13760,R. McGivern,27,61,3,61,0.235,1525,55,75,53,64,51,54,54,172,188,79,Northern Ireland,CB
13761,A. Lpez,19,61,7,66,0.364,1566,67,54,72,65,63,48,55,54,181,71,Mexico,ST LW
13762,Sito Riera,33,61,2,61,0.168,1579,36,32,68,67,64,59,47,149,185,75,Spain,CM CDM
13763,Y. Reyes,21,61,2,72,0.42,1588,57,67,57,68,61,49,49,174,174,74,Colombia,CDM
13764,C. Brittain,19,61,1,78,0.532,1625,74,52,72,72,59,50,60,171,181,68,England,RB RWB CM
13765,C. Herd,28,61,2,61,0.224,1676,55,74,77,74,62,65,44,182,173,76,Australia,CDM CM RB CB
13766,A. Plumain,22,61,2,73,0.504,1449,81,36,71,63,64,58,53,61,182,74,France,RW ST RM
13767,H. Wingo,21,61,2,69,0.42,1623,75,43,65,61,62,55,54,133,183,77,United States,RM LM RB
13768,G. Morrissey,25,61,1,66,0.314,1617,52,55,47,54,65,58,53,168,183,81,Republic of Ireland,CDM CM
13769,E. Parish,27,61,1,62,0.224,979,40,26,39,37,16,36,12,40,188,83,England,GK
